N_RIGA;ID_LIBRO;TITOLO;AUTORE;GENERE;ANNO_PUBBLICAZIONE;CASA_EDITRICE;ISBN;LINGUA;N_PAGINE;DISPONIBILE;DATA_INIZIO_PRESTITO;DATA_FINE_PRESTITO
374;LIB0374;L'Amante;A.B. Yehoshua;Romanzo;1809;Einaudi;978-22-922-8692-3;Italiano;1034;SI;NULL;NULL
375;LIB0375;Il Sorgo Rosso;Mo Yan;Romanzo storico;1627;Einaudi;978-57-420-7781-4;Italiano;496;NO;2026-04-26;2026-07-25
376;LIB0376;Il Poema della Fine;Marina Cvetaeva;Poesia;1526;Einaudi;978-12-367-7841-5;Italiano;378;NO;2026-02-27;2026-05-28
377;LIB0377;Va' dove ti Porta il Cuore;Susanna Tamaro;Romanzo;1500;Baldini & Castoldi;978-39-488-5026-6;Italiano;755;SI;NULL;NULL
378;LIB0378;La Tregua;Primo Levi;Memoir;1970;Einaudi;978-53-363-9005-7;Italiano;1482;SI;NULL;NULL
379;LIB0379;L'Aleph;Jorge Luis Borges;Racconti;1957;Einaudi;978-68-272-6770-8;Italiano;1084;NO;2026-03-24;2026-06-22
380;LIB0380;Addio mia Amata;Raymond Chandler;Noir;1859;Mondadori;978-33-655-1962-9;Italiano;1080;SI;NULL;NULL
381;LIB0381;La Metamorfosi;Franz Kafka;Racconto;1376;Feltrinelli;978-16-882-1104-0;Italiano;1448;SI;NULL;NULL
382;LIB0382;Macbeth;William Shakespeare;Teatro;1945;Einaudi;978-18-824-3474-1;Italiano;553;NO;2026-04-30;2026-07-29
383;LIB0383;Il Cardellino;Donna Tartt;Romanzo;1817;Rizzoli;978-57-161-8916-2;Italiano;1013;SI;NULL;NULL
384;LIB0384;Vicolo del Mortaio;Naguib Mahfouz;Romanzo;1316;Einaudi;978-78-664-7739-3;Italiano;93;NO;2026-05-03;2026-08-01
385;LIB0385;La Certosa di Parma;Stendhal;Romanzo;1842;Einaudi;978-78-393-1280-4;Italiano;642;SI;NULL;NULL
386;LIB0386;Rumore Bianco;Don DeLillo;Romanzo;2014;Einaudi;978-65-925-3937-5;Italiano;1460;NO;2026-04-30;2026-07-29
387;LIB0387;Il Cammino di Santiago;Paulo Coelho;Memoir;1398;Bompiani;978-29-346-4144-6;Italiano;1153;SI;NULL;NULL
388;LIB0388;Harry Potter e la Pietra Filosofale;J.K. Rowling;Fantasy;1558;Salani;978-44-914-7502-7;Italiano;805;NO;2026-04-27;2026-07-26
389;LIB0389;Shining;Stephen King;Horror;1715;Sperling & Kupfer;978-82-349-4700-8;Italiano;1020;NO;2026-04-08;2026-07-07
390;LIB0390;La Coscienza di Zeno;Italo Svevo;Romanzo psicologico;1382;Einaudi;978-93-877-1519-9;Italiano;1418;NO;2026-04-23;2026-07-22
391;LIB0391;Harry Potter e il Principe Mezzosangue;J.K. Rowling;Fantasy;1688;Salani;978-80-587-1919-0;Italiano;852;SI;NULL;NULL
392;LIB0392;Lo Strano Caso del Dr. Jekyll e Mr. Hyde;Robert Louis Stevenson;Horror gotico;2019;Newton Compton;978-20-611-8109-1;Italiano;430;SI;NULL;NULL
393;LIB0393;Il Profumo;Patrick Süskind;Romanzo;1639;Longanesi;978-22-640-1697-2;Italiano;1238;NO;2026-04-23;2026-07-22
394;LIB0394;Mattatoio n. 5;Kurt Vonnegut;Romanzo satirico;2008;Feltrinelli;978-70-377-1762-3;Italiano;1240;SI;NULL;NULL
395;LIB0395;La Passione Secondo G.H.;Clarice Lispector;Romanzo;2000;Adelphi;978-79-677-1539-4;Italiano;654;NO;2026-03-24;2026-06-22
396;LIB0396;Ritratto dell'Artista da Giovane;James Joyce;Romanzo di formazione;1622;Mondadori;978-36-701-3362-5;Italiano;112;SI;NULL;NULL
397;LIB0397;Un Ragazzo Adatto;Vikram Seth;Romanzo;1707;Guanda;978-48-266-4939-6;Italiano;237;SI;NULL;NULL
398;LIB0398;Omon Ra;Viktor Pelevin;Romanzo;1698;Einaudi;978-79-439-7288-7;Italiano;1466;SI;NULL;NULL
399;LIB0399;Morte sul Nilo;Agatha Christie;Giallo;1443;Mondadori;978-20-612-6666-8;Italiano;1491;NO;2026-04-27;2026-07-26
400;LIB0400;Conversazione nella Cattedrale;Mario Vargas Llosa;Romanzo;1747;Einaudi;978-19-448-7499-9;Italiano;555;SI;NULL;NULL
401;LIB0401;Fiesta;Ernest Hemingway;Romanzo;1634;Mondadori;978-91-379-8381-0;Italiano;140;SI;NULL;NULL
402;LIB0402;Colazione da Tiffany;Truman Capote;Romanzo;1664;Garzanti;978-58-542-4043-1;Italiano;1212;SI;NULL;NULL
403;LIB0403;Northanger Abbey;Jane Austen;Romanzo gotico parodico;1976;Newton Compton;978-20-890-5839-2;Italiano;858;SI;NULL;NULL
404;LIB0404;Il Castello;Franz Kafka;Romanzo esistenziale;1375;Einaudi;978-44-257-7225-3;Italiano;248;SI;NULL;NULL
405;LIB0405;Interpreti;Wole Soyinka;Romanzo;1949;Einaudi;978-59-424-6909-4;Italiano;395;NO;2026-04-19;2026-07-18
406;LIB0406;Palomar;Italo Calvino;Narrativa;1305;Einaudi;978-66-468-5419-5;Italiano;711;NO;2026-03-05;2026-06-03
407;LIB0407;Il Fu Mattia Pascal;Luigi Pirandello;Romanzo;1389;Einaudi;978-65-559-9395-6;Italiano;463;SI;NULL;NULL
408;LIB0408;Harry Potter e l'Ordine della Fenice;J.K. Rowling;Fantasy;1326;Salani;978-55-667-2524-7;Italiano;263;SI;NULL;NULL
409;LIB0409;Ritratto di Signora;Henry James;Romanzo;1632;Einaudi;978-11-398-7779-8;Italiano;868;SI;NULL;NULL
410;LIB0410;Il Richiamo della Foresta;Jack London;Avventura;1386;Newton Compton;978-41-685-9537-9;Italiano;1225;NO;2026-04-05;2026-07-04
411;LIB0411;Il Pericolo Senza Nome;Agatha Christie;Giallo;1689;Mondadori;978-27-375-5933-0;Italiano;427;NO;2026-03-13;2026-06-11
412;LIB0412;Quer Pasticciaccio Brutto de Via Merulana;Carlo Emilio Gadda;Romanzo;1449;Garzanti;978-31-545-5521-1;Italiano;209;SI;NULL;NULL
413;LIB0413;La Morte di Ivan Ilic;Lev Tolstoj;Racconto;1795;Einaudi;978-56-357-5040-2;Italiano;237;SI;NULL;NULL
414;LIB0414;La Torre Nera;Stephen King;Fantasy dark;1807;Sperling & Kupfer;978-88-300-8501-3;Italiano;1296;NO;2026-04-16;2026-07-15
415;LIB0415;Va' e Metti una Sentinella;Harper Lee;Romanzo;1611;Feltrinelli;978-60-440-7224-4;Italiano;93;SI;NULL;NULL
416;LIB0416;La Rabbia e l'Orgoglio;Oriana Fallaci;Saggio;1637;Rizzoli;978-52-540-3230-5;Italiano;981;SI;NULL;NULL
417;LIB0417;Ossi di Seppia;Eugenio Montale;Poesia;1917;Einaudi;978-71-421-3910-6;Italiano;491;SI;NULL;NULL
418;LIB0418;Le Particelle Elementari;Michel Houellebecq;Romanzo;1626;Bompiani;978-98-748-9044-7;Italiano;676;SI;NULL;NULL
419;LIB0419;Persuasione;Jane Austen;Romanzo sentimentale;1548;Newton Compton;978-58-387-7437-8;Italiano;747;SI;NULL;NULL
420;LIB0420;Cuore di Cane;Mikhail Bulgakov;Racconto satirico;1877;Einaudi;978-85-658-3947-9;Italiano;489;SI;NULL;NULL
421;LIB0421;Il Rosso e il Nero;Stendhal;Romanzo;1863;Einaudi;978-69-825-4434-0;Italiano;135;SI;NULL;NULL
422;LIB0422;La Valle dell'Eden;John Steinbeck;Romanzo;1598;Mondadori;978-18-938-7703-1;Italiano;1498;SI;NULL;NULL
423;LIB0423;Il Messia di Dune;Frank Herbert;Fantascienza;1442;Fanucci;978-48-347-5139-2;Italiano;1377;SI;NULL;NULL
424;LIB0424;Harry Potter e il Prigioniero di Azkaban;J.K. Rowling;Fantasy;1733;Salani;978-19-559-8851-3;Italiano;852;SI;NULL;NULL
425;LIB0425;Ulisse;James Joyce;Modernismo;1847;Mondadori;978-98-528-9907-4;Italiano;1117;NO;2026-04-13;2026-07-12
426;LIB0426;Pet Sematary;Stephen King;Horror;1668;Sperling & Kupfer;978-86-753-2392-5;Italiano;1179;NO;2026-04-30;2026-07-29
427;LIB0427;L'Omonimo;Jhumpa Lahiri;Romanzo;1554;Guanda;978-95-463-3725-6;Italiano;1426;SI;NULL;NULL
428;LIB0428;Il Padiglione d'Oro;Yukio Mishima;Romanzo;1345;Feltrinelli;978-92-793-7547-7;Italiano;1233;SI;NULL;NULL
429;LIB0429;Il Paese d'Ottobre;Ray Bradbury;Racconti horror;1639;Mondadori;978-23-110-2615-8;Italiano;961;NO;2026-03-30;2026-06-28
430;LIB0430;Finzioni;Jorge Luis Borges;Racconti;1822;Einaudi;978-81-694-4621-9;Italiano;1142;SI;NULL;NULL
431;LIB0431;Sessanta Racconti;Dino Buzzati;Racconti;1700;Mondadori;978-96-702-9199-0;Italiano;1028;NO;2026-04-22;2026-07-21
432;LIB0432;Libertà;Jonathan Franzen;Romanzo contemporaneo;1325;Einaudi;978-23-402-7815-1;Italiano;1068;SI;NULL;NULL
433;LIB0433;Il Congresso di Futurologia;Stanisław Lem;Fantascienza;1387;Mondadori;978-28-456-6110-2;Italiano;317;SI;NULL;NULL
434;LIB0434;Le Fontane del Paradiso;Arthur C. Clarke;Fantascienza;1511;Mondadori;978-71-456-8801-3;Italiano;1147;NO;2026-02-18;2026-05-19
435;LIB0435;Mille Splendidi Soli;Khaled Hosseini;Romanzo;2013;Piemme;978-50-168-5919-4;Italiano;1006;NO;2026-05-06;2026-08-04
436;LIB0436;I Figli della Mezzanotte;Salman Rushdie;Realismo magico;1417;Mondadori;978-53-763-2791-5;Italiano;126;SI;NULL;NULL
437;LIB0437;I Sotterranei;Jack Kerouac;Romanzo;1468;Mondadori;978-76-278-3623-6;Italiano;579;SI;NULL;NULL
438;LIB0438;Il Maestro e Margherita;Mikhail Bulgakov;Romanzo satirico;1736;Einaudi;978-39-916-7636-7;Italiano;1026;SI;NULL;NULL
439;LIB0439;Qualcuno con cui Correre;David Grossman;Romanzo;1490;Mondadori;978-94-542-7481-8;Italiano;1391;NO;2026-03-12;2026-06-10
440;LIB0440;Baudolino;Umberto Eco;Romanzo storico;1928;Bompiani;978-67-706-8037-9;Italiano;484;SI;NULL;NULL
441;LIB0441;Armata a Cavallo;Isaak Babel;Racconti;2021;Einaudi;978-36-385-2025-0;Italiano;519;SI;NULL;NULL
442;LIB0442;L'Importanza di Chiamarsi Ernesto;Oscar Wilde;Commedia;1849;Newton Compton;978-56-433-4228-1;Italiano;462;SI;NULL;NULL
443;LIB0443;Odi Barbare;Giosuè Carducci;Poesia;1568;Zanichelli;978-72-640-6134-2;Italiano;1453;SI;NULL;NULL
444;LIB0444;Niente di Nuovo sul Fronte Occidentale;Erich Maria Remarque;Romanzo di guerra;1925;Mondadori;978-85-216-6700-3;Italiano;883;SI;NULL;NULL
445;LIB0445;Il Vecchio e il Mare;Ernest Hemingway;Racconto;1768;Mondadori;978-32-933-5873-4;Italiano;1344;SI;NULL;NULL
446;LIB0446;L'Opera da Tre Soldi;Bertolt Brecht;Teatro;1904;Einaudi;978-96-237-6131-5;Italiano;253;NO;2026-04-09;2026-07-08
447;LIB0447;Le Quaranta Regole dell'Amore;Elif Şafak;Romanzo;1612;Rizzoli;978-33-482-3316-6;Italiano;319;SI;NULL;NULL
448;LIB0448;Il Crollo;Chinua Achebe;Romanzo post-coloniale;1728;Einaudi;978-27-688-7286-7;Italiano;1301;SI;NULL;NULL
449;LIB0449;Re Lear;William Shakespeare;Teatro;1798;Einaudi;978-78-810-3838-8;Italiano;1381;SI;NULL;NULL
450;LIB0450;I Mandarini;Simone de Beauvoir;Romanzo;1801;Einaudi;978-27-291-6154-9;Italiano;671;SI;NULL;NULL
451;LIB0451;Il Lupo della Steppa;Hermann Hesse;Romanzo;1934;Mondadori;978-55-109-8939-0;Italiano;189;NO;2026-05-14;2026-08-12
452;LIB0452;Decameron;Giovanni Boccaccio;Novelle;1693;Einaudi;978-74-768-9109-1;Italiano;1230;SI;NULL;NULL
453;LIB0453;I Fratelli Karamazov;Fëdor Dostoevskij;Romanzo filosofico;1803;Einaudi;978-66-600-3740-2;Italiano;931;NO;2026-03-02;2026-05-31
454;LIB0454;Uomini e Topi;John Steinbeck;Racconto;1331;Mondadori;978-47-133-5503-3;Italiano;531;NO;2026-05-09;2026-08-07
455;LIB0455;Il Colibrì;Sandro Veronesi;Romanzo;1595;Bompiani;978-68-679-9115-4;Italiano;424;SI;NULL;NULL
456;LIB0456;Salambò;Gustave Flaubert;Romanzo storico;1415;Einaudi;978-24-374-9898-5;Italiano;1252;SI;NULL;NULL
457;LIB0457;Le Confessioni di un Italiano;Ippolito Nievo;Romanzo storico;1675;Einaudi;978-15-878-8231-6;Italiano;1190;SI;NULL;NULL
458;LIB0458;Odissea;Omero;Poema epico;1735;Einaudi;978-93-869-5055-7;Italiano;289;NO;2026-04-02;2026-07-01
459;LIB0459;I Demoni;Fëdor Dostoevskij;Romanzo politico;1333;Einaudi;978-43-456-2425-8;Italiano;1001;SI;NULL;NULL
460;LIB0460;Le Notti Bianche;Fëdor Dostoevskij;Racconto;1420;Feltrinelli;978-36-930-6744-9;Italiano;565;SI;NULL;NULL
461;LIB0461;Stiller;Max Frisch;Romanzo;1924;Feltrinelli;978-64-269-3281-0;Italiano;1375;SI;NULL;NULL
462;LIB0462;Amatissima;Toni Morrison;Romanzo;1511;Frassinelli;978-82-459-9720-1;Italiano;201;NO;2026-04-18;2026-07-17
463;LIB0463;Tenera è la Notte;F. Scott Fitzgerald;Romanzo;1851;Mondadori;978-51-820-5794-2;Italiano;424;NO;2026-03-28;2026-06-26
464;LIB0464;Il Mestiere di Vivere;Cesare Pavese;Diario;1573;Einaudi;978-96-934-2560-3;Italiano;1133;NO;2026-03-25;2026-06-23
465;LIB0465;La Valle delle Querce;Anita Desai;Romanzo;1721;Mondadori;978-45-987-3078-4;Italiano;201;SI;NULL;NULL
466;LIB0466;Vivere;Yu Hua;Romanzo;1435;Einaudi;978-28-828-6277-5;Italiano;591;SI;NULL;NULL
467;LIB0467;Non è un Paese per Vecchi;Cormac McCarthy;Romanzo;1992;Einaudi;978-72-245-5402-6;Italiano;884;SI;NULL;NULL
468;LIB0468;Il Conte di Montecristo;Alexandre Dumas;Avventura;1684;Newton Compton;978-19-748-2525-7;Italiano;1005;SI;NULL;NULL
469;LIB0469;L'Amante;Marguerite Duras;Romanzo;1584;Feltrinelli;978-68-599-6362-8;Italiano;835;SI;NULL;NULL
470;LIB0470;Le Avventure di Tom Sawyer;Mark Twain;Avventura;1395;Mondadori;978-91-780-6869-9;Italiano;1018;SI;NULL;NULL
471;LIB0471;Per chi Suona la Campana;Ernest Hemingway;Romanzo di guerra;1847;Mondadori;978-37-539-4470-0;Italiano;894;SI;NULL;NULL
472;LIB0472;David Copperfield;Charles Dickens;Romanzo di formazione;1630;Newton Compton;978-53-660-3139-1;Italiano;660;SI;NULL;NULL
473;LIB0473;Il Ritratto di Dorian Gray;Oscar Wilde;Romanzo estetico;1796;Newton Compton;978-97-880-1793-2;Italiano;783;NO;2026-04-02;2026-07-01
474;LIB0474;L'Era del Sospetto;Nathalie Sarraute;Saggio;1941;Einaudi;978-12-227-3588-3;Italiano;1021;SI;NULL;NULL
475;LIB0475;Delitto e Castigo;Fëdor Dostoevskij;Romanzo psicologico;1300;Garzanti;978-35-805-3161-4;Italiano;956;SI;NULL;NULL
476;LIB0476;Invito a una Decapitazione;Vladimir Nabokov;Romanzo;1609;Adelphi;978-45-195-6905-5;Italiano;405;NO;2026-03-25;2026-06-23
477;LIB0477;Robinson Crusoe;Daniel Defoe;Avventura;1680;Einaudi;978-93-269-1848-6;Italiano;1440;SI;NULL;NULL
478;LIB0478;Fondazione e Impero;Isaac Asimov;Fantascienza;1612;Mondadori;978-64-771-2494-7;Italiano;559;SI;NULL;NULL
479;LIB0479;I Racconti del Terrore;Edgar Allan Poe;Horror;1301;Newton Compton;978-71-179-3174-8;Italiano;517;SI;NULL;NULL
480;LIB0480;I Buddenbrook;Thomas Mann;Romanzo;1831;Corbaccio;978-66-109-1132-9;Italiano;1472;SI;NULL;NULL
481;LIB0481;Germinale;Émile Zola;Naturalismo;1423;Einaudi;978-98-235-8826-0;Italiano;944;NO;2026-03-27;2026-06-25
482;LIB0482;La via Familiare;Ben Okri;Romanzo;1692;Garzanti;978-23-205-6133-1;Italiano;262;SI;NULL;NULL
483;LIB0483;Papà Goriot;Honoré de Balzac;Realismo;1606;Einaudi;978-58-892-3181-2;Italiano;360;SI;NULL;NULL
484;LIB0484;Il Meglio di Asimov;Isaac Asimov;Fantascienza;1993;Mondadori;978-18-643-1138-3;Italiano;372;SI;NULL;NULL
485;LIB0485;De Profundis;Oscar Wilde;Memoir;1468;Newton Compton;978-54-839-4490-4;Italiano;981;SI;NULL;NULL
486;LIB0486;Il Libro dell'Inquietudine;Fernando Pessoa;Diario;1455;Feltrinelli;978-88-803-8248-5;Italiano;923;SI;NULL;NULL
487;LIB0487;Il Sistema Periodico;Primo Levi;Memoir;1388;Einaudi;978-27-870-3017-6;Italiano;285;SI;NULL;NULL
488;LIB0488;Il Mondo Nuovo;Aldous Huxley;Distopia;1693;Mondadori;978-64-422-3290-7;Italiano;799;NO;2026-03-23;2026-06-21
489;LIB0489;Herzog;Saul Bellow;Romanzo;1960;Mondadori;978-41-666-5668-8;Italiano;252;SI;NULL;NULL
490;LIB0490;La Danzatrice di Izu;Yasunari Kawabata;Racconto;2007;Mondadori;978-94-996-5942-9;Italiano;134;NO;2026-03-29;2026-06-27
491;LIB0491;Cassandra;Christa Wolf;Romanzo;1921;Einaudi;978-34-865-7418-0;Italiano;1123;NO;2026-03-08;2026-06-06
492;LIB0492;Moby Dick;Herman Melville;Avventura;1355;Einaudi;978-73-495-2847-1;Italiano;570;NO;2026-05-04;2026-08-02
493;LIB0493;Le Città Invisibili;Italo Calvino;Narrativa;1953;Einaudi;978-19-640-1197-2;Italiano;1296;SI;NULL;NULL
494;LIB0494;Io Robot;Isaac Asimov;Fantascienza;1624;Mondadori;978-59-981-7895-3;Italiano;350;SI;NULL;NULL
495;LIB0495;Lo Scontro dei Re;George R.R. Martin;Fantasy;1999;Mondadori;978-70-888-2195-4;Italiano;433;NO;2026-04-22;2026-07-21
496;LIB0496;Fahrenheit 451;Ray Bradbury;Distopia;1369;Mondadori;978-43-320-1652-5;Italiano;108;SI;NULL;NULL
497;LIB0497;Infinite Jest;David Foster Wallace;Postmoderno;1707;Einaudi;978-46-743-9209-6;Italiano;1117;SI;NULL;NULL
498;LIB0498;La Ragazza che Giocava con il Fuoco;Stieg Larsson;Thriller;1733;Marsilio;978-20-755-9791-7;Italiano;903;SI;NULL;NULL
499;LIB0499;Undici Minuti;Paulo Coelho;Romanzo;1456;Bompiani;978-20-417-2294-8;Italiano;648;SI;NULL;NULL
500;LIB0500;Uno Studio in Rosso;Arthur Conan Doyle;Giallo;1508;Newton Compton;978-78-434-7401-9;Italiano;398;SI;NULL;NULL
501;LIB0501;La Nausea;Jean-Paul Sartre;Esistenzialismo;1965;Einaudi;978-92-167-6081-0;Italiano;1474;SI;NULL;NULL
502;LIB0502;Emma;Jane Austen;Romanzo sentimentale;1544;Newton Compton;978-41-188-8118-1;Italiano;198;NO;2026-05-11;2026-08-09
503;LIB0503;Resurrezione;Lev Tolstoj;Romanzo;1926;Einaudi;978-17-416-3877-2;Italiano;1326;NO;2026-03-29;2026-06-27
504;LIB0504;Il Guardiano degli Innocenti;Andrzej Sapkowski;Fantasy;1440;Mondadori;978-30-608-6680-3;Italiano;103;SI;NULL;NULL
505;LIB0505;Amore;Toni Morrison;Romanzo;1565;Frassinelli;978-57-229-5403-4;Italiano;421;SI;NULL;NULL
506;LIB0506;Il Cercatore d'Oro;Jean-Marie Le Clézio;Romanzo;1420;Einaudi;978-52-926-8034-5;Italiano;140;NO;2026-03-25;2026-06-23
507;LIB0507;L'Infelicità Senza Desideri;Peter Handke;Racconto;1365;Garzanti;978-83-742-2262-6;Italiano;618;SI;NULL;NULL
508;LIB0508;Il Conformista;Alberto Moravia;Romanzo;1823;Bompiani;978-17-611-3734-7;Italiano;817;SI;NULL;NULL
509;LIB0509;Pippi Calzelunghe;Astrid Lindgren;Fiaba;1561;Salani;978-83-790-2889-8;Italiano;290;NO;2026-03-20;2026-06-18
510;LIB0510;VALIS;Philip K. Dick;Fantascienza;1821;Fanucci;978-15-979-1201-9;Italiano;85;NO;2026-04-16;2026-07-15
511;LIB0511;Il Tempo Ritrovato;Marcel Proust;Modernismo;1783;Einaudi;978-59-253-3932-0;Italiano;825;SI;NULL;NULL
512;LIB0512;Sottomissione;Michel Houellebecq;Romanzo;1336;Bompiani;978-93-529-4678-1;Italiano;1212;SI;NULL;NULL
513;LIB0513;Il Secondo Sesso;Simone de Beauvoir;Saggio;1726;Einaudi;978-44-945-2276-2;Italiano;735;SI;NULL;NULL
514;LIB0514;Harry Potter e i Doni della Morte;J.K. Rowling;Fantasy;1422;Salani;978-96-153-3938-3;Italiano;1108;NO;2026-04-06;2026-07-05
515;LIB0515;Gente di Dublino;James Joyce;Racconti;1828;Mondadori;978-61-170-8620-4;Italiano;174;SI;NULL;NULL
516;LIB0516;Origine;Dan Brown;Thriller;1618;Mondadori;978-21-666-8483-5;Italiano;750;NO;2026-02-21;2026-05-22
517;LIB0517;Il Dottor Zivago;Boris Pasternak;Romanzo storico;1505;Feltrinelli;978-82-903-5979-6;Italiano;677;SI;NULL;NULL
518;LIB0518;La Guerra dei Mondi;H.G. Wells;Fantascienza;1548;Newton Compton;978-57-705-9083-7;Italiano;1030;SI;NULL;NULL
519;LIB0519;La Donna di Sabbia;Kobo Abe;Romanzo;1500;Einaudi;978-41-254-1104-8;Italiano;1199;SI;NULL;NULL
520;LIB0520;Una Giornata di Ivan Denisovic;Alexander Solzhenitsyn;Racconto;1324;Einaudi;978-79-454-1157-9;Italiano;557;SI;NULL;NULL
521;LIB0521;Il Codice Da Vinci;Dan Brown;Thriller;1301;Mondadori;978-58-969-6038-0;Italiano;1426;NO;2026-04-17;2026-07-16
522;LIB0522;Il Falcone Maltese;Dashiell Hammett;Noir;1842;Mondadori;978-63-603-1981-1;Italiano;567;SI;NULL;NULL
523;LIB0523;Il Cavaliere Inesistente;Italo Calvino;Romanzo;1445;Einaudi;978-21-144-4792-2;Italiano;653;SI;NULL;NULL
524;LIB0524;Il Miglio Verde;Stephen King;Romanzo;1832;Sperling & Kupfer;978-99-481-8511-3;Italiano;925;SI;NULL;NULL
525;LIB0525;I Quaderni di Malte Laurids Brigge;Rainer Maria Rilke;Romanzo;1386;Einaudi;978-22-617-3187-4;Italiano;1269;SI;NULL;NULL
526;LIB0526;Gomorra;Roberto Saviano;Saggio narrativo;1703;Mondadori;978-85-681-2020-5;Italiano;233;SI;NULL;NULL
527;LIB0527;Ventimila Leghe sotto i Mari;Jules Verne;Avventura;1433;Mondadori;978-47-367-6161-6;Italiano;564;SI;NULL;NULL
528;LIB0528;Il Circolo Pickwick;Charles Dickens;Romanzo umoristico;1702;Newton Compton;978-50-563-5455-7;Italiano;748;NO;2026-02-21;2026-05-22
529;LIB0529;Nella Colonia Penale;Franz Kafka;Racconto;1507;Feltrinelli;978-84-211-3546-8;Italiano;358;NO;2026-04-06;2026-07-05
530;LIB0530;Harry Potter e il Calice di Fuoco;J.K. Rowling;Fantasy;1760;Salani;978-50-516-2978-9;Italiano;1034;SI;NULL;NULL
531;LIB0531;I Tre Moschettieri;Alexandre Dumas;Avventura;1512;Newton Compton;978-49-574-5341-0;Italiano;1005;SI;NULL;NULL
532;LIB0532;Il Cimitero di Praga;Umberto Eco;Romanzo storico;1392;Bompiani;978-97-411-1660-1;Italiano;402;NO;2026-05-02;2026-07-31
533;LIB0533;Fontamara;Ignazio Silone;Romanzo sociale;1635;Mondadori;978-21-828-5066-2;Italiano;383;SI;NULL;NULL
534;LIB0534;La Tempesta;William Shakespeare;Teatro;1705;Einaudi;978-16-793-5896-3;Italiano;1131;NO;2026-02-16;2026-05-17
535;LIB0535;Il Grande Ritratto;Dino Buzzati;Fantascienza;1478;Mondadori;978-61-975-8408-4;Italiano;143;SI;NULL;NULL
536;LIB0536;Mastro-don Gesualdo;Giovanni Verga;Verismo;1863;Mondadori;978-22-573-2669-5;Italiano;591;SI;NULL;NULL
537;LIB0537;La Misteriosa Fiamma della Regina Loana;Umberto Eco;Romanzo;1443;Bompiani;978-11-163-4641-6;Italiano;328;NO;2026-04-05;2026-07-04
538;LIB0538;Omaggio alla Catalogna;George Orwell;Memoir;1710;Mondadori;978-97-745-2376-7;Italiano;842;SI;NULL;NULL
539;LIB0539;I Figli di Dune;Frank Herbert;Fantascienza;1565;Fanucci;978-12-166-4239-8;Italiano;233;SI;NULL;NULL
540;LIB0540;Alcools;Guillaume Apollinaire;Poesia;1754;Einaudi;978-21-967-6432-9;Italiano;343;NO;2026-04-18;2026-07-17
541;LIB0541;Sula;Toni Morrison;Romanzo;1772;Frassinelli;978-31-687-8096-0;Italiano;183;SI;NULL;NULL
542;LIB0542;Morte a Venezia;Thomas Mann;Novella;1704;Corbaccio;978-13-491-7990-1;Italiano;1096;NO;2026-02-18;2026-05-19
543;LIB0543;Birra nel Club degli Snob;Waguih Ghali;Romanzo;1519;Einaudi;978-45-386-8307-2;Italiano;463;SI;NULL;NULL
544;LIB0544;Opinioni di un Clown;Heinrich Böll;Romanzo;1335;Mondadori;978-89-731-5026-3;Italiano;1337;SI;NULL;NULL
545;LIB0545;Le Voci della Sera;Natalia Ginzburg;Romanzo;1810;Einaudi;978-80-590-1999-4;Italiano;923;NO;2026-04-14;2026-07-13
546;LIB0546;Dune;Frank Herbert;Fantascienza;1692;Fanucci;978-63-304-9614-5;Italiano;361;NO;2026-03-27;2026-06-25
547;LIB0547;Il Dio delle Piccole Cose;Arundhati Roy;Romanzo;1856;Guanda;978-58-900-6883-6;Italiano;119;SI;NULL;NULL
548;LIB0548;Giro di Vite;Henry James;Racconto gotico;1796;Einaudi;978-82-614-6269-7;Italiano;784;SI;NULL;NULL
549;LIB0549;Inferno;Dan Brown;Thriller;1484;Mondadori;978-50-711-4588-8;Italiano;133;NO;2026-04-08;2026-07-07
550;LIB0550;Il Trono di Spade;George R.R. Martin;Fantasy;1587;Mondadori;978-70-642-6856-9;Italiano;199;SI;NULL;NULL
551;LIB0551;Don Chisciotte della Mancia;Miguel de Cervantes;Romanzo;1538;Einaudi;978-22-353-4951-0;Italiano;406;NO;2026-03-20;2026-06-18
552;LIB0552;La Fattoria degli Animali;George Orwell;Favola politica;1357;Mondadori;978-83-966-7363-1;Italiano;529;SI;NULL;NULL
553;LIB0553;Fame;Knut Hamsun;Romanzo;1477;Mondadori;978-40-706-6210-2;Italiano;440;SI;NULL;NULL
554;LIB0554;La Lentezza;Milan Kundera;Romanzo;2014;Adelphi;978-85-128-6761-3;Italiano;814;SI;NULL;NULL
555;LIB0555;Le Vergini Suicide;Jeffrey Eugenides;Romanzo;1877;Mondadori;978-82-292-9064-4;Italiano;371;SI;NULL;NULL
556;LIB0556;I Sommersi e i Salvati;Primo Levi;Saggio;1479;Einaudi;978-14-192-1920-5;Italiano;1084;NO;2026-05-05;2026-08-03
557;LIB0557;I Viaggi di Gulliver;Jonathan Swift;Satira;1524;Einaudi;978-77-589-1011-6;Italiano;120;SI;NULL;NULL
558;LIB0558;Conversazione in Sicilia;Elio Vittorini;Romanzo;1928;Einaudi;978-26-448-3907-7;Italiano;492;SI;NULL;NULL
559;LIB0559;Il Silmarillion;J.R.R. Tolkien;Fantasy;1631;Bompiani;978-12-251-3320-8;Italiano;201;SI;NULL;NULL
